"variavel","n","media","dp","min","q25","mediana","q75","max","cv_pct"
"ELEV",2932,1511.43,388.55,132,1355,1517,1608,2167,25.71
"FLW_DAYS",2018,61.86,23.17,25,44,55,72,148,37.46
"GY",2870,1925.59,976.9,12.83,1190.5,1823.9,2600,6640,50.73
"LAT",2932,-0.61,1.11,-4.17,-1,-0.34,0.49,0.98,-181.72
"LON",2932,36.15,1.34,34.13,34.62,36.11,37.14,39.57,3.7
"NDM",2905,123.91,33.64,41,103,115,133,272,27.15
"OIL",170,18.73,1.04,16.58,18.01,18.67,19.49,21.23,5.57
"PH_R8",2903,61.71,26.31,8.8,42,60,75,205.2,42.63
"PROT",170,41.25,2.52,33.97,40.04,41.71,42.99,46.55,6.11
"W100G",1567,20.11,5.09,2,16,20,24,32,25.3
