"ENV","Trait","Media","Mediana","DP"
"E001","GY",3212.42,3330,875.39
"E001","NDM",119.86,119,3.55
"E001","PH_R8",86.32,84,12.89
"E011","GY",2809.17,2833.33,555.71
"E011","NDM",135.45,127.5,20.62
"E011","PH_R8",62.65,62.5,17.73
"E0150","FLW_DAYS",39.24,39,2.37
"E0150","GY",2449.81,2400,607.59
"E0150","NDM",103.87,104,7.27
"E0150","PH_R8",58.1,62.1,18.82
"E0150","W100G",13.83,14,1.9
"E0194","FLW_DAYS",95.63,95,9.05
"E0194","GY",2004.62,1974.4,559.47
"E0194","NDM",177.36,175,11.51
"E0194","PH_R8",87.03,86.3,19.61
"E0194","W100G",15.75,16,3.06
